lid,X3857,Y3857,kind,trigger,forest_type,slope,chm
2021_79,13437539.217940709,2676577.090167827,case,降雨,__NONFOREST__,41.423,0
2021_80,13438247.211598797,2676888.3913271213,case,降雨,闊葉樹林型,42.383,7
2021_81,13433426.323492603,2681696.2453014995,case,降雨,__NONFOREST__,58.326,0
2021_82,13437650.865730044,2676904.576606768,case,降雨,__NONFOREST__,34.275,1
2021_83,13437821.09413335,2676959.550328376,case,降雨,待成林地,38.485,0
2021_84,13439717.05128386,2693710.445027001,case,降雨,__NONFOREST__,29.139,0
2021_85,13439795.04585402,2693562.3951963247,case,降雨,闊葉樹林型,34.619,20
2021_86,13443253.17863784,2691133.068386009,case,降雨,闊葉樹林型,39.447,3
2021_87,13443857.431648798,2690623.377473155,case,降雨,待成林地,25.671,0
2021_88,13439132.004305769,2693975.9009810844,case,降雨,竹闊混淆林,43.777,5
2021_89,13427630.492669838,2660574.139305139,case,降雨,待成林地,30.366,1
2021_90,13429897.550433492,2661801.609735613,case,降雨,__NONFOREST__,36.518,0
2021_91,13428342.936984422,2664077.4591585877,case,降雨,待成林地,43.192,1
2021_92,13430756.472440897,2668682.0685604024,case,降雨,闊葉樹林型,39.244,0
2021_93,13428746.36142224,2671682.092993285,case,降雨,竹闊混淆林,38.346,0
